Date,Vanguard FTSE North America UCITS ETF (USD) Accumulating
2005-02,10000
2005-03,10000
2005-04,9860.394702012525
2005-05,10665.113225849924
2005-06,10956.104863885654
2005-07,11343.023392273126
2005-08,11143.897591221792
2005-09,11497.463917492249
2005-10,11354.675097570853
2005-11,11994.27458678783
2005-12,12023.318412367713
2006-01,12042.605154228915
2006-02,12259.847582941931
2006-03,12244.961223215467
2006-04,11931.077121529062
2006-05,11370.813454650743
2006-06,11432.54697590392
2006-07,11505.519628337444
2006-08,11752.169271306813
2006-09,12147.436008531
2006-10,12462.237918749817
2006-11,12246.991049506576
2006-12,12458.485571060153
2007-01,12844.386687941724
2007-02,12414.515124934358
2007-03,12465.974112010696
2007-04,12684.058845095316
2007-05,13353.813301600721
2007-06,13100.201676622351
2007-07,12549.450170806093
2007-08,12790.374546160803
2007-09,12764.389571969215
2007-10,12821.691931433761
2007-11,12067.740311347769
2007-12,12059.430678609226
2008-01,11194.220615623843
2008-02,10633.012177014594
2008-03,10090.906190360074
2008-04,10792.716468872848
2008-05,11026.93607142229
2008-06,10001.561858495308
2008-07,9973.619814249809
2008-08,10699.597127138719
2008-09,10188.3112795036
2008-10,9281.082295076541
2008-11,8602.853759670958
2008-12,7931.2141862814615
2009-01,7914.752544344412
2009-02,7171.652807492073
2009-03,7462.022826591948
2009-04,8227.06638833676
2009-05,8208.606350521582
2009-06,8262.83067633371
2009-07,8824.062265567969
2009-08,8995.101579537662
2009-09,9182.781429658315
2009-10,8895.46745243778
2009-11,9268.012557491378
2009-12,9901.604224141693
2010-01,9842.462426060472
2010-02,10351.756975104912
2010-03,11087.594714122371
2010-04,11453.497934738798
2010-05,11414.763951256467
2010-06,10829.812902888887
2010-07,10886.752404493755
2010-08,10678.00815473847
2010-09,10826.761016257355
2010-10,11039.015886216717
2010-11,11791.416896054923
2010-12,12212.875253011765
2011-01,12205.61284274566
2011-02,12562.137613947183
2011-03,12229.421452937093
2011-04,12029.806077823067
2011-05,12254.704554738464
2011-06,11934.61503890986
2011-07,11790.856903700926
2011-08,11145.575228172129
2011-09,11039.414306061362
2011-10,11772.928939462892
2011-11,12138.595062425942
2011-12,12667.628977572555
2012-01,13173.364083320532
2012-02,13442.905704344874
2012-03,13868.947158570723
2012-04,13887.48661599839
2012-05,13915.126254591827
2012-06,14089.591228804378
2012-07,14722.571798548825
2012-08,14730.113267749404
2012-09,14811.614287988721
2012-10,14460.557628711475
2012-11,14484.863271471431
2012-12,14431.02139515021
2013-01,14721.019137405761
2013-02,15452.572284592046
2013-03,16288.430289599546
2013-04,16137.204990997738
2013-05,16746.98245324417
2013-06,16425.37124256078
2013-07,16930.33788437735
2013-08,16596.598954033612
2013-09,16702.800585959016
2013-10,17358.78544756137
2013-11,17784.06217953343
2013-12,18032.39372097054
2014-01,17789.420479687215
2014-02,18171.565936267154
2014-03,18359.29220399188
2014-04,18388.618512541154
2014-05,19110.475555928668
2014-06,19498.11896639059
2014-07,19683.550763878477
2014-08,20774.795193764592
2014-09,21219.85040198088
2014-10,21860.309703743816
2014-11,22515.896264946277
2014-12,23095.650200728374
2015-01,23968.32754493408
2015-02,25594.33807572035
2015-03,26228.49107647392
2015-04,25447.87313592484
2015-05,26671.222258191414
2015-06,25329.671953895173
2015-07,25973.5252054624
2015-08,24063.097240355466
2015-09,22915.286190713177
2015-10,25623.43623702066
2015-11,26850.97771040306
2015-12,25593.728205104173
2016-01,23525.044322345286
2016-02,24275.335237611074
2016-03,24775.89064805082
2016-04,24838.91098077353
2016-05,25952.49865402115
2016-06,26067.60956287823
2016-07,26855.95572066834
2016-08,27012.170573828676
2016-09,26803.44126881762
2016-10,26978.443312221345
2016-11,28885.601502750163
2016-12,29903.1989831111
2017-01,29520.164694445106
2017-02,31265.529740464983
2017-03,30967.00480683588
2017-04,30686.15449893572
2017-05,30097.85509487004
2017-06,29899.068930915746
2017-07,29674.995936725674
2017-08,29399.85855390221
2017-09,30193.087619952454
2017-10,31308.848482915088
2017-11,31471.01080745393
2017-12,31648.91169415937
2018-01,32275.49854295647
2018-02,31601.86218633443
2018-03,30582.92091077187
2018-04,31281.74884026419
2018-05,33153.37610644792
2018-06,33336.59039487869
2018-07,34454.3749864588
2018-08,35687.14162951436
2018-09,35724.57171433194
2018-10,34276.023826971905
2018-11,34959.14835846565
2018-12,31513.75182251314
2019-01,34010.348013946605
2019-02,35392.33906242619
2019-03,36522.93698726032
2019-04,38065.532996075075
2019-05,35893.068919835336
2019-06,37562.599558520305
2019-07,38967.14554617575
2019-08,38722.29489069547
2019-09,39858.38890609982
2019-10,39750.82076096999
2019-11,41694.23200831413
2019-12,42173.359148158524
2020-01,42801.39521952566
2020-02,39678.9428173169
2020-03,34531.83755606784
2020-04,39094.715024131256
2020-05,40444.70604321937
2020-06,40970.681711268146
2020-07,41179.10060019837
2020-08,43776.113831989096
2020-09,42909.56926894323
2020-10,42011.00514775012
2020-11,45684.19302121573
2020-12,46442.973187192816
2021-01,46331.7621815659
2021-02,47649.14943992634
2021-03,51161.7460646566
2021-04,52616.622389465876
2021-05,52172.55429641284
2021-06,55168.940519039395
2021-07,56371.63832856838
2021-08,58197.3022047194
2021-09,56986.08545288048
2021-10,60614.80639296121
2021-11,61514.53396666455
2021-12,63378.17600823368
2022-01,60845.04050284943
2022-02,58352.81938606083
2022-03,62426.34002530364
2022-04,61577.40197529028
2022-05,58264.762405939735
2022-06,54739.91807438435
2022-07,60566.65537446968
2022-08,59595.14035141981
2022-09,56503.965561063305
2022-10,59385.47836860742
2022-11,60134.4761118022
2022-12,54651.422020649494